Código;Nome;Turma;Ano-Período;Docente;Horário;Qtde Vagas Ofertadas;Qtde Vagas Ocupadas;Local
CIC0203;COMPUTAÇÃO EXPERIMENTAL;A;2021.1;JORGE HENRIQUE CABRAL FERNANDES (60h);35T23;50;30;REMOTO
CIC0177;ARQUITETURA DE PROCESSADORES DIGITAIS;A;2021.1;WILSON HENRIQUE VENEZIANO (60h);35N12;50;16;REMOTO
CIC0143;ESTUDOS EM SISTEMAS DE INFORMACAO;GP;2021.1;GERALDO PEREIRA ROCHA FILHO (60h);3M12 5M12;1;1;A DEFINIR
CIC0002;FUNDAMENTOS TEÓRICOS DA COMPUTAÇÃO;A;2021.1;JORGE CARLOS LUCERO (60h);35M12;50;31;REMOTO
CIC0007;INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO;F;2021.1;CAMILO CHANG DOREA (60h);4T45 5T23;30;16;REMOTO
CIC0136;ESTUDOS EM INTELIGENCIA ARTIFICIAL;ME;2021.1;MARIA EMILIA MACHADO TELLES WALTER (60h);3456N4;5;1;REMOTO
CIC0132;ESTUDOS EM SISTEMAS DE COMPUTACAO;33;2021.1;MARCELO ANTONIO MAROTTA (60h);3456N2;1;1;virtual
CIC0356;PROJETO FINAL EM ENGENHARIA DE COMPUTAÇÃO 2;JF;2021.1;JORGE HENRIQUE CABRAL FERNANDES (90h);2M5 3M5 4M5 2T1 3T1 4T1;1;1;a definir
CIC0161;AUTÔMATOS E COMPUTABILIDADE;A;2021.1;JORGE CARLOS LUCERO (90h);245T45;50;42;REMOTO
CIC0132;ESTUDOS EM SISTEMAS DE COMPUTACAO;TF;2021.1;THIAGO DE PAULO FALEIROS (60h);5M5 6M5 5T1 6T1;1;1;a definir
CIC0210;PRÁTICA PEDAGÓGICA EM COMPUTAÇÃO 1;B;2021.1;MARIA DE FATIMA RAMOS BRANDAO (90h);2M5 4M5 6M5 2T1 4T1 6T1;50;18;a definir
CIC0099;ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES;B;2021.1;FLAVIO DE BARROS VIDAL (60h);35M34;35;14;REMOTO
CIC0126;PROCESSAMENTO EM TEMPO REAL;A;2021.1;FLAVIO DE BARROS VIDAL (60h);46M34;45;17;REMOTO
CIC0166;TRABALHO DE GRADUAÇÃO 1;MH;2021.1;MARISTELA TERTO DE HOLANDA (30h);7T12;10;4;REMOTO
CIC0229;CIRCUITOS LÓGICOS;AB;2021.1;CARLA MARIA CHAGAS E CAVALCANTE KOIKE (60h);35M12;45;38;REMOTO
CIC0157;PROJETO DE LICENCIATURA;AA;2021.1;ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN (150h);7M123 7T13 23456N4;7;2;a definir
CIC0216;ESTÁGIO SUPERVISIONADO EM LICENCIATURA EM COMPUTAÇÃO 3;A;2021.1;MARIA DE FATIMA RAMOS BRANDAO (105h);2M5 4M5 6M5 2T1 4T1 6T1;6;1;a definir
CIC0353;PROJETO FINAL EM ENGENHARIA DE COMPUTAÇÃO 1;A01;2021.1;FLAVIA MARIA GUERRA DE SOUSA ARANHA OLIVEIRA (30h);2M5 2T1;2;1;a definir
CIC0199;TEORIA E APLICAÇÃO DE GRAFOS;02;2021.1;DIBIO LEANDRO BORGES (60h);7M1234;1;1;remoto
CIC0356;PROJETO FINAL EM ENGENHARIA DE COMPUTAÇÃO 2;AA;2021.1;ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN (90h);2M5 3M5 4M5 2T1 3T1 4T1;1;1;a definir
CIC0132;ESTUDOS EM SISTEMAS DE COMPUTACAO;DD;2021.1;RODRIGO BONIFACIO DE ALMEIDA (60h);2M5 4M5 2T1 4T1;1;1;a designar
CIC0105;ENGENHARIA DE SOFTWARE;A;2021.1;VANESSA TAVARES NUNES (30h);35M12;50;35;REMOTO
